	mBAL-202-DNA-TA1-B10	mBAL-202-RNA-TA1-B10	mBAL-205-DNA-TA1-B8	mBAL-205-RNA-TA1-QIA-61917	mBAL-208-DNA-TA1-B10	mBAL-208-RNA-TA1-B10	mBAL-209-DNA-TA1-B8	mBAL-209-RNA-TA1-QIA-61917	mBAL-211-DNA-TA1-B10	mBAL-211-RNA-TA1-B10	mBAL-212-DNA-TA1-ZYM-6717-B7	mBAL-212-RNA-TA1-B10	mBAL-213-DNA-TA1-B8	mBAL-213-RNA-TA1-QIA-62317	mBAL-215-DNA-TA1-B10	mBAL-215-RNA-TA1-B10	mBAL-216-DNA-TA1-B10	mBAL-216-RNA-TA1-B10	mBAL-217-DNA-TA1-B8	mBAL-217-RNA-TA1-QIA-61917	mBAL-218-DNA-TA1-B10	mBAL-218-RNA-TA1-B10	mBAL-220-DNA-TA1-B8	mBAL-220-RNA-TA1-B10	mBAL-221-DNA-TA1-B8	mBAL-221-RNA-TA1-B10	mBAL-224-DNA-B6	mBAL-224-RNA-B5	mBAL-225-DNA-TA1-ZYM-6717-B7	mBAL-225-RNA-TA1-B10	mBAL-226-DNA-TA1-B10	mBAL-226-RNA-TA1-B10	mBAL-227-DNA-TA1-B10	mBAL-227-RNA-TA1-B10	mBAL-229-DNA-TA1-B8	mBAL-229-RNA-TA1-QIA-62317	mBAL-231-DNA-TA1-B10	mBAL-231-RNA-TA1-B10	mBAL-232-DNA-TA1-ZYM-6717-B7	mBAL-232-RNA-B5B	mBAL-235-DNA-TA1-B10	mBAL-235-RNA-TA1-B10	mBAL-237-DNA-TA1-B8	mBAL-237-RNA-TA1-B10	mBAL-240-DNA-TA-B12	mBAL-240-RNA-TA1-B10	mBAL-241-DNA-TA-B12	mBAL-241-RNA-TA1-B10	mBAL-245-DNA-TA1-B8	mBAL-245-RNA-TA1-QIA-62317	mBAL-246-DNA-TA1-B8	mBAL-246-RNA-TA1-QIA-62317	mBAL-251-DNA-TA2-QIA-6517-B7	mBAL-251-RNA-TA2-QIA-60517	mBAL-252-DNA-TA1-ZYM-6717-B7	mBAL-252-RNA-TA1-QIA-61917	mBAL-254-DNA-TA1-QIA-6517-B7	mBAL-254-RNA-TA1-QIA-61217	mBAL-256-DNA-TA2-QIA-6517-B7	mBAL-256-RNA-TA2-QIA-60517	mBAL-257-DNA-TA1-ZYM-6717-B7	mBAL-257-RNA-B5B	mBAL-258-DNA-TA1-B10	mBAL-258-RNA-TA1-B10	mBAL-261-DNA-TA2-QIA-6517-B7	mBAL-261-RNA-TA1-B10	mBAL-264-DNA-TA1-B10	mBAL-264-RNA-TA1-B10	mBAL-268-DNA-TA2-QIA-6517-B7	mBAL-268-RNA-TA2-QIA-60517	mBAL-270-DNA-TA-B12	mBAL-270-RNA-TA1-B10	mBAL-272-DNA-TA2-QIA-6517-B7	mBAL-272-RNA-TA1-B10	mBAL-273-DNA-TA1-ZYM-6717-B7	mBAL-273-RNA-TA1-B10	mBAL-278-DNA-TA2-QIA-6517-B7	mBAL-278-RNA-TA2-QIA-60117	mBAL-288-DNA-TA1-QIA-6117-B7	mBAL-288-RNA-TA1-QIA-60117	mBAL-289-DNA-TA1-B8	mBAL-289-RNA-TA1-QIA-62317	mBAL-290-DNA-TA1-B8	mBAL-290-RNA-TA1-QIA-62317	mBAL-295-DNA-TA1-QIA-6117-B7	mBAL-295-RNA-TA1-QIA-60117	mBAL-297-DNA-TA1-B8	mBAL-297-RNA-TA1-QIA-62317	mBAL-298-DNA-TA1-B8	mBAL-298-RNA-TA1-B10	mBAL-301-DNA-TA1-B10	mBAL-301-RNA-TA1-B10	mBAL-304-DNA-B6	mBAL-304-RNA-TA1-B10	mBAL-307-DNA-TA1-ZYM-6117-B7	mBAL-307-RNA-TA1-B10	mBAL-310-DNA-TA1-ZYM-6117-B7	mBAL-310-RNA-B5B	mBAL-311-DNA-B6	mBAL-311-RNA-B5B	mBAL-313-RNA-B5	mBAL-314-DNA-B6	mBAL-314-RNA-TA1-B10	mBAL-315-DNA-B6	mBAL-315-RNA-TA1-B10	mBAL-316-DNA-TA1-ZYM-6117-B7	mBAL-316-RNA-B5	mBAL-317-RNA-B5	mBAL-318-DNA-TA1-ZYM-6117-B7	mBAL-318-RNA-B5B	mBAL-319-DNA-TA1-QIA-6117-B7	mBAL-319-RP-RNA-TA-B11	mBAL-320-DNA-TA1-ZYM-6117-B7	mBAL-320-RNA-B5	mBAL-321-51-DNA-TA-B11	mBAL-321-51-RNA-TA-B11	mBAL-323-55-RNA-TA-B11	mBAL-323-DNA-TA1-QIA-6117-B7	mBAL-324-DNA-TA1-ZYM-6117-B7	mBAL-324-RNA-B5	mBAL-327-RNA-B5	mBAL-329-DNA-TA1-ZYM-6117-B7	mBAL-329-RNA-B5	mBAL-330-DNA-TA1-ZYM-6117-B7	mBAL-330-RNA-B5	mBAL-331-DNA-TA1-QIA-6117-B7	mBAL-331-RNA-TA1-B10	mBAL-334-55-DNA-TA-B11	mBAL-334-55-RNA-TA-B11	mBAL-335-DNA-B6	mBAL-335-RNA-TA1-B10	mBAL-337-DNA-B6	mBAL-337-RNA-TA1-B10	mBAL-338-DNA-TA1-ZYM-6117-B7	mBAL-338-RNA-TA1-B10	mBAL-339-RNA-TA1-B10	mBAL-341-DNA-TA1-B10	mBAL-341-RNA-TA1-B10	mBAL-343-DNA-TA1-B10	mBAL-343-RNA-TA1-B10	mBAL-347-DNA-TA1-B10	mBAL-347-RNA-TA1-B10	mBAL-349-DNA-TA1-B10	mBAL-349-RNA-TA1-B10	mBAL-350-DNA-TA1-B8	mBAL-350-RNA-TA1-B10	mBAL-353-DNA-TA1-B10	mBAL-353-RNA-TA1-B10	mBAL-355-DNA-TA1-B10	mBAL-355-RNA-TA1-B10	mBAL-356-DNA-TA1-B10	mBAL-356-RNA-TA1-B10	mBAL-357-DNA-TA1-B10	mBAL-357-RNA-TA1-B10	mBAL-358-DNA-TA1-B10	mBAL-358-RNA-TA1-B10	mBAL-359-DNA-TA1-B10	mBAL-359-RNA-TA1-B10	mBAL-360-DNA-TA1-B10	mBAL-360-RNA-TA1-B10	mBAL-362-DNA-TA1-B10	mBAL-362-RNA-TA1-B10	mBAL-363-DNA-TA1-B10	mBAL-363-RNA-TA1-B10	mBAL-364-DNA-TA1-B10	mBAL-364-RNA-TA1-B10	mBAL-367-54-DNA-TA-B11	mBAL-367-54-RNA-TA-B11	mBAL-368-54-DNA-TA-B11	mBAL-368-54-RNA-TA-B11	mBAL-369-54-DNA-TA-B11	mBAL-369-54-RNA-TA-B11	mBAL-378-54-DNA-TA-B11	mBAL-378-54-RNA-TA-B11	mBAL-381-54-DNA-TA-B11	mBAL-381-54-RNA-TA-B11	mBAL-383-54-DNA-TA-B11	mBAL-383-54-RNA-TA-B11	mBAL-385-54-DNA-TA-B11	mBAL-385-54-RNA-TA-B11
Xanthomonas campestris ( 339 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas citri ( 346 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114641261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864641261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.074641261	0.924641261	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas euvesicatoria ( 456327 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.16464126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas fuscans ( 366648 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas oryzae ( 347 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas sacchari ( 56458 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.504641261	0	2.754641261	0	0	0	0	0	0	0	5.044641261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.734641261	0	0	0	0	0	7.354641261	9.444641261	0	0	0	0	0	7.434641261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas sp. H1 ( 1197895 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.50464126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenophilus azovorans ( 151755 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenophilus sp. BM2.09-117 ( 1341545 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenophilus sp. canine oral taxon 264 ( 1151532 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenophilus sp. feline oral taxon 360 ( 1577426 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenorhabdus bovienii ( 40576 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.32	9.18	0	0.18	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenorhabdus doucetiae ( 351671 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.03	0	0.04	0	0.19	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenorhabdus nematophila ( 628 )	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	1.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenorhabdus poinarii ( 40577 )	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xenorhabdus sp. P48 ( 1541745 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xerula sp. olrim150 ( 243042 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylanimonas cellulosilytica ( 186189 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45	0	0.1	0	1.19	0	0.04	0	0.08	0	0.07	0.02	0	0	0	0	0.29	0	0	0.05	0	0.16	0	0	0	0	0	0	0	0	0	0	0.02	0	0.07	0	0.15	0.08	0.05	0	0	0	0.03	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0.12	0.14	0.07	0	0	0	0	0	0.06	0	0	0	0.2	0	0.04	0	0.03	0	0	0	0.09	0	0.1	0	0	0.06	0.15	0	0.09	0.17	0	0.03	0.01	0	0	0.29	0.57	0.31	0.07	0	0	0	0.4	0	0	0	0	0	0	0.05	0	0.32	0	0	0	0	0	0	0	0	0	0	0.18	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0.07	0	0	0	0.06	0
Xylella fastidiosa ( 2371 )	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0	0.59	0	0.12	0	0.1	0	0	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.05	0	0	0	0.08	0	0	0.11	1.39	0	0.08	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0.08	0	0.01	0	0.05	0.04	0	0	0	0	0	0.91	1.4	0	0.07	0	0	0	0.56	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylona heveae ( 1217826 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylophilus ampelinus ( 54067 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yarrowia lipolytica ( 4952 )	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia enterocolitica ( 630 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.21	0	0	0	0	0.02	0.2	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0.08	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	0	0	0	0	0	0	0	0	0.07	0	0	0.57	0	0	0	0	0	0.62	0.7	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	2.61	0	0	0	0	0	0	0	0	0	0	0	0	3.05	0	0	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0
Yersinia frederiksenii ( 29484 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia intermedia ( 631 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia kristensenii ( 28152 )	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
